	Disease	Major category	Subcategory	Inheritance	OMIM	Gene	UpdatedGene	GeneID	Associated features	T cell count	B cell count	Immunoglobulin levels	Neutrophil count	Other affected cells	KEGG_drug	KEGG_pathway	HPOs
CD40 deficiency_CD40_AR	CD40 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	109535	CD40 (TNFRSF5)	CD40	958	Thrombocytopenia, hemolytic anemia, opportunistic infections, biliary tract and liver disease, Cryptosporidium infections	Normal	sIgM+, IgD+ cells present, absent sIgG+, IgA+ and IgE+ cells	IgM nl or high low IgG, IgA	Variable	nan	['Bleselumab: D11357', 'Dacetuzumab: D08896', 'Iscalimab: D11610', 'Lucatumumab: D08942', 'Ravagalimab: D11597', 'Selicrelumab: D11491', 'Sotigalimab: D12178', 'Teneliximab: D06071']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04064  NF-kappa B signaling pathway', 'hsa04514  Cell adhesion molecules', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04672  Intestinal immune network for IgA production', 'hsa05144  Malaria', 'hsa05145  Toxoplasmosis', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05202  Transcriptional misregulation in cancer', 'hsa05310  Asthma', 'hsa05320  Autoimmune thyroid disease', 'hsa05322  Systemic lupus erythematosus', 'hsa05330  Allograft rejection', 'hsa05340  Primary immunodeficiency', 'hsa05416  Viral myocarditis', 'hsa05417  Lipid and atherosclerosis']	['HP:0002715', 'HP:0001903', 'HP:0002720', 'HP:0000007', 'HP:0003496', 'HP:0001392', 'HP:0001873', 'HP:0004313', 'HP:0005403', 'HP:0031690', 'HP:0001878']
CD40 ligand deficiency (CD154)_CD40LG_XL	CD40 ligand deficiency (CD154)	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	XL	300386	CD40LG (TNFSF5)	CD40LG	959	Thrombocytopenia, hemolytic anemia, opportunistic infections, biliary tract and liver disease, Cryptosporidium infections	Nl to low	sIgM+, IgD+ cells present, absent sIgG+, IgA+ and IgE+ cells	IgM nl or high low IgG, IgA	Variable	nan	['Letolizumab: D11122', 'Ruplizumab: D05777', 'Toralizumab: D06193']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04064  NF-kappa B signaling pathway', 'hsa04514  Cell adhesion molecules', 'hsa04660  T cell receptor signaling pathway', 'hsa04672  Intestinal immune network for IgA production', 'hsa05144  Malaria', 'hsa05145  Toxoplasmosis', 'hsa05310  Asthma', 'hsa05320  Autoimmune thyroid disease', 'hsa05322  Systemic lupus erythematosus', 'hsa05330  Allograft rejection', 'hsa05340  Primary immunodeficiency', 'hsa05416  Viral myocarditis', 'hsa05417  Lipid and atherosclerosis']	['HP:0002715', 'HP:0001903', 'HP:0002720', 'HP:0003496', 'HP:0001392', 'HP:0001873', 'HP:0004313', 'HP:0001417', 'HP:0005403', 'HP:0031690', 'HP:0001878']
CD8 deficiency_CD8A_AR	CD8 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	186910	CD8A	CD8A	925	Recurrent infections, may be asymptomatic	Absent CD8, nl CD4	Normal	Nl	nan	nan	['Antithymocyte immunoglobulin (rabbit): D09190<JP/US>', 'Tucidinostat: D10993<JP>']	['hsa04514  Cell adhesion molecules', 'hsa04612  Antigen processing and presentation', 'hsa04640  Hematopoietic cell lineage', 'hsa04660  T cell receptor signaling pathway', 'hsa05135  Yersinia infection', 'hsa05340  Primary immunodeficiency']	['HP:0005403', 'HP:0000007', 'HP:0002719', 'HP:0002715']
CHUK deficiency_CHUK_AR	CHUK deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR		CHUK	CHUK	1147	"Combined immunodeficiency, recurrent infections (Staphylococcus aureus, mucocutaneous candidiasis, epidermodysplasia verruciformis due to HPV).
Absent secondary lymphoid tissues, lymphocytic infiltration of intestine and liver. Skeletal abnormalities, failure to thrive.Normal T cell proliferation, reduced NK function"	Normal T, NK cell numbers.  Accumulation of immature NK cells	B cell lymphopenia	Pan-hypogammaglobulinemia	nan	nan	[]	['hsa01523  Antifolate resistance', 'hsa04010  MAPK signaling pathway', 'hsa04014  Ras signaling pathway', 'hsa04062  Chemokine signaling pathway', 'hsa04064  NF-kappa B signaling pathway', 'hsa04068  FoxO signaling pathway', 'hsa04150  mTOR signaling pathway', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04210  Apoptosis', 'hsa04380  Osteoclast differentiation', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04622  RIG-I-like receptor signaling pathway', 'hsa04623  Cytosolic DNA-sensing pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04657  IL-17 signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa04662  B cell receptor signaling pathway', 'hsa04668  TNF signaling pathway', 'hsa04920  Adipocytokine signaling pathway', 'hsa04936  Alcoholic liver disease', 'hsa05010  Alzheimer disease', 'hsa05120  Epithelial cell signaling in Helicobacter pylori infection', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05135  Yersinia infection', 'hsa05142  Chagas disease', 'hsa05145  Toxoplasmosis', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05163  Human cytomegalovirus infection', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05208  Chemical carcinogenesis - reactive oxygen species', 'hsa05212  Pancreatic cancer', 'hsa05215  Prostate cancer', 'hsa05220  Chronic myeloid leukemia', 'hsa05221  Acute myeloid leukemia', 'hsa05222  Small cell lung cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05417  Lipid and atherosclerosis', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0002728', 'HP:0001508', 'HP:0010976', 'HP:0002719', 'HP:0002721', 'HP:0000007', 'HP:0000924', 'HP:0005387', 'HP:0002726', 'HP:0004432']
MHC class II deficiency group A_CIITA_AR	MHC class II deficiency group A	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	600005	CIITA	CIITA	4261	Respiratory and gastrointestinal infections, liver/biliary tract disease	"Low CD4 cells
Absent MHC II expression on lymphocytes"	Normal	Normal to low	nan	nan	[]	['hsa04612  Antigen processing and presentation', 'hsa05145  Toxoplasmosis', 'hsa05152  Tuberculosis', 'hsa05164  Influenza A', 'hsa05340  Primary immunodeficiency']	['HP:0004798', 'HP:0002715', 'HP:0000007', 'HP:0004313', 'HP:0005403']
COPG1 deficiency_COPG1_AR	COPG1 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR		COPG1	COPG1	22820	"recurrent pneumonia, viral respiratory infections, bronchiectasis, chronic EBV, CMV viremia.  Failure to thrive
impaired T and B cell function in vitro"	T cell lymphopenia, mostly CD4	normal slightly reduced	"near-normal levels of serum IgM, G, A
• poor/absent Ig responses to vaccines"	nan	nan	[]	[]	['HP:0001508', 'HP:0011947', 'HP:0000007', 'HP:0002110', 'HP:0002090', 'HP:0006532', 'HP:0020071']
DOCK2 deficiency_DOCK2_AR	DOCK2 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	603122	DOCK2	DOCK2	1794	Nl NK cells, but defective function. Poor interferon responses in hematopoietic and non-hematopoietic cells	Low	Normal	Low	Normal	nan	[]	['hsa04062  Chemokine signaling pathway']	['HP:0005403', 'HP:0000007', 'HP:0002715', 'HP:0004313']
DOCK8 deficiency_DOCK8_AR	DOCK8 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	243700	DOCK8	DOCK8	81704	Low NK cells with poor function, eosinophilia, recurrent infections, cutaneous viral, fungal and staphylococcal infections, severe atopy, cancer diathesis	Low, poor proliferation, few, poorly functioning Treg	Low, low CD27+ memory B cells Poor peripheral B cell tolerance.	Low IgM, normal to high IgG and IgA, high IgE	nan	Low NK	[]	[]	['HP:0003237', 'HP:0001880', 'HP:0002715', 'HP:0002664', 'HP:0002719', 'HP:0000007', 'HP:0003212', 'HP:0002850', 'HP:0003261', 'HP:0005403']
FCHO1 deficiency_FCHO1_AR	FCHO1 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	613437	FCHO1	FCHO1	23149	Recurrent infections, lymphoproliferation, increased activation-induced T-cell death, defective clathrin-mediated endocytosis	Low	Normal	Normal	nan	nan	[]	[]	['HP:0005403', 'HP:0000007', 'HP:0002719', 'HP:0002715']
ICOS deficiency_ICOS_AR	ICOS deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	604558	ICOS	ICOS	29851	Recurrent infections, autoimmunity, gastroenteritis, granulomas	Normal	Normal	Low	nan	nan	['Acazicolcept: D12300', 'Feladilimab: D11996', 'Izuralimab: D12195', 'Vopratelimab: D11433']	['hsa04514  Cell adhesion molecules', 'hsa04660  T cell receptor signaling pathway', 'hsa04672  Intestinal immune network for IgA production', 'hsa05340  Primary immunodeficiency']	['HP:0002715', 'HP:0002960', 'HP:0002719', 'HP:0000007', 'HP:0004313', 'HP:0032252', 'HP:0005403']
ICOLG deficiency_ICOSLG_AR	ICOLG deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	605717	ICOSLG	ICOSLG	23308	Recurrent bacterial and viral infections	Low	Low	Low	Low	nan	['Rozibafusp alfa: D11907']	['hsa04514  Cell adhesion molecules', 'hsa04672  Intestinal immune network for IgA production']	['HP:0010976', 'HP:0002715', 'HP:0000007', 'HP:0001875', 'HP:0004313', 'HP:0005403']
IKBKB deficiency_IKBKB_AR	IKBKB deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	615592	IKBKB	IKBKB	3551	Recurrent bacterial, viral, fungal infections, opportunistic infections	Nl number, absent Treg and g/d T cells, impaired TCR activation	Nl number, poor function	nan	nan	nan	['Ertiprotafib: D04050']	['hsa01523  Antifolate resistance', 'hsa04010  MAPK signaling pathway', 'hsa04014  Ras signaling pathway', 'hsa04062  Chemokine signaling pathway', 'hsa04064  NF-kappa B signaling pathway', 'hsa04068  FoxO signaling pathway', 'hsa04150  mTOR signaling pathway', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04210  Apoptosis', 'hsa04380  Osteoclast differentiation', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04622  RIG-I-like receptor signaling pathway', 'hsa04623  Cytosolic DNA-sensing pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04657  IL-17 signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa04662  B cell receptor signaling pathway', 'hsa04668  TNF signaling pathway', 'hsa04722  Neurotrophin signaling pathway', 'hsa04910  Insulin signaling pathway', 'hsa04920  Adipocytokine signaling pathway', 'hsa04930  Type II diabetes mellitus', 'hsa04931  Insulin resistance', 'hsa04932  Non-alcoholic fatty liver disease', 'hsa04936  Alcoholic liver disease', 'hsa05010  Alzheimer disease', 'hsa05120  Epithelial cell signaling in Helicobacter pylori infection', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05135  Yersinia infection', 'hsa05142  Chagas disease', 'hsa05145  Toxoplasmosis', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05163  Human cytomegalovirus infection', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05206  MicroRNAs in cancer', 'hsa05208  Chemical carcinogenesis - reactive oxygen species', 'hsa05212  Pancreatic cancer', 'hsa05215  Prostate cancer', 'hsa05220  Chronic myeloid leukemia', 'hsa05221  Acute myeloid leukemia', 'hsa05222  Small cell lung cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05417  Lipid and atherosclerosis', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0005403', 'HP:0031690', 'HP:0000007', 'HP:0002715']
Ikaros deficiency_IKZF1_AD DN	Ikaros deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AD DN		IKZF1	IKZF1	10320	Recurrent sinopulmonary infections, pneumocystis early CID onset	No memory T cells	No memory B cells	Low	nan	nan	[]	[]	['HP:0000006', 'HP:0005425', 'HP:0002715', 'HP:0002721', 'HP:0005387', 'HP:0004313', 'HP:0005403']
IKZF2 deficiency_IKZF2_AD	IKZF2 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AD		IKZF2	IKZF2	22807	"combined immunodeficiency, recurrent upper respiratory infections/pneumonia, thrush, mucosal ulcers, chronic lymphadenopathy, SLE, ITP, Evan’s syndrome.
EBV-associated HLH, lymphoma"	"Increased activated/ exhausted T cells. Increased  production pro-inflammatory cytokines by T cells.  Increased MAIT, Tfh cells, NK cells.
Normal Treg"	normal B cell numbers, but low switched memory. dysregulated germinal centers	hypogammaglobulinemia with low/normal IgG vaccine responses	nan	nan	[]	[]	['HP:0000006', 'HP:0032140', 'HP:0030374', 'HP:0002721', 'HP:0005387', 'HP:0002665', 'HP:0004313', 'HP:0002716']
IKZF2 deficiency_IKZF2_AR	IKZF2 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR		IKZF2	IKZF2	22807	"combined immunodeficiency, recurrent upper respiratory infections/pneumonia, thrush, mucosal ulcers, chronic lymphadenopathy, SLE, ITP, Evan’s syndrome.
EBV-associated HLH, lymphoma"	"Increased activated/ exhausted T cells. Increased  production pro-inflammatory cytokines by T cells.  Increased MAIT, Tfh cells, NK cells.
Normal Treg"	normal B cell numbers, but low switched memory. dysregulated germinal centers	hypogammaglobulinemia with low/normal IgG vaccine responses	nan	nan	[]	[]	['HP:0032140', 'HP:0030374', 'HP:0002721', 'HP:0000007', 'HP:0005387', 'HP:0002665', 'HP:0004313', 'HP:0002716']
IL-21 deficiency_IL21_AR	IL-21 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	615767	IL21	IL21	59067	Severe early onset colitis, recurrent sinopulmonary infections	Nl number, nl/low function	Low	nan	nan	nan	[]	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04630  JAK-STAT signaling pathway', 'hsa04659  Th17 cell differentiation', 'hsa05321  Inflammatory bowel disease']	['HP:0005425', 'HP:0002583', 'HP:0002715', 'HP:0010976', 'HP:0000007', 'HP:0005403']
IL-21R deficiency_IL21R_AR	IL-21R deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	615207	IL21R	IL21R	50615	Recurrent infections, Pneumocystis jiroveci, Cryptosporidium infections and liver disease	Nl number, low cytokine production, poor antigen proliferation	Normal	nan	nan	nan	['Denenicokin: D09332']	['hsa04060  Cytokine-cytokine receptor interaction', 'hsa04630  JAK-STAT signaling pathway', 'hsa04659  Th17 cell differentiation', 'hsa05321  Inflammatory bowel disease']	['HP:0002715', 'HP:0002719', 'HP:0000007', 'HP:0001392', 'HP:0005403']
ITK deficiency_ITK_AR	ITK deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	186973	ITK	ITK	3702	EBV associated B cell lymphoproliferation, lymphoma	Progressive decrease	Normal	Variable	nan	nan	[]	['hsa04062  Chemokine signaling pathway', 'hsa04660  T cell receptor signaling pathway', 'hsa04670  Leukocyte transendothelial migration']	['HP:0002715', 'HP:0020072', 'HP:0000007', 'HP:0002665', 'HP:0005403']
LCK deficiency_LCK_AR	LCK deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	615758	LCK	LCK	3932	Recurrent infections, immune dysregulation, autoimmunity	Low CD4+, low Treg, restricted T cell repertoire, poor TCR signaling	Normal	nan	nan	nan	['Dasatinib (DG00714): D03658<JP> D06414<JP/US>']	['hsa04064  NF-kappa B signaling pathway', 'hsa04380  Osteoclast differentiation', 'hsa04650  Natural killer cell mediated cytotoxicity', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa05135  Yersinia infection', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05340  Primary immunodeficiency']	['HP:0002715', 'HP:0002960', 'HP:0002719', 'HP:0000007', 'HP:0005403', 'HP:0002958']
MALT1 deficiency_MALT1_AR	MALT1 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	615468	MALT1	MALT1	10892	Bacterial, fungal and viral infections	Nl number, poor proliferation	Normal	nan	nan	nan	[]	['hsa04064  NF-kappa B signaling pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04660  T cell receptor signaling pathway', 'hsa04662  B cell receptor signaling pathway', 'hsa05131  Shigellosis', 'hsa05152  Tuberculosis']	['HP:0005403', 'HP:0000007', 'HP:0002715']
MAN2B2 deficiency_MAN2B2_AR	MAN2B2 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR		MAN2B2	MAN2B2	23324	Developmental delay, congenital disorder of glycosylation, microcephaly, vasculitis, arthritis, FTT	Low T cells and TRECs	Low	Normal IgM, low IgA, high IgE	nan	nan	[]	['hsa00511  Other glycan degradation']	['HP:0001508', 'HP:0002715', 'HP:0010976', 'HP:0002720', 'HP:0000007', 'HP:0001263', 'HP:0003212', 'HP:0000252', 'HP:0001369', 'HP:0005403', 'HP:0002633']
NIK deficiency_MAP3K14_AR	NIK deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	604655	MAP3K14	MAP3K14	9020	Recurrent bacterial, viral and Cryptosporidium infections	Nl number, poor proliferation to antigen	Low, low switched memory B cells	nan	nan	Low NK	[]	['hsa04010  MAPK signaling pathway', 'hsa04064  NF-kappa B signaling pathway', 'hsa04210  Apoptosis', 'hsa04380  Osteoclast differentiation', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04660  T cell receptor signaling pathway', 'hsa04668  TNF signaling pathway', 'hsa04672  Intestinal immune network for IgA production', 'hsa04936  Alcoholic liver disease', 'hsa05120  Epithelial cell signaling in Helicobacter pylori infection', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05208  Chemical carcinogenesis - reactive oxygen species']	['HP:0010976', 'HP:0002715', 'HP:0030374', 'HP:0000007', 'HP:0005403']
Moesin deficiency_MSN_XL	Moesin deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	XL	300988	MSN	MSN	4478	Recurrent infections with bacteria, varicella	Nl number, defective migration, proliferaton	Low number	nan	Low	nan	[]	['hsa04530  Tight junction', 'hsa04670  Leukocyte transendothelial migration', 'hsa04810  Regulation of actin cytoskeleton', 'hsa05162  Measles', 'hsa05205  Proteoglycans in cancer']	['HP:0002715', 'HP:0002719', 'HP:0001875', 'HP:0001417', 'HP:0005403']
Polymerase d 1 deficiency_POLD1_AR	Polymerase d 1 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	174761	POLD1	POLD1	5424	Recurrent respiratory tract infections, skin infections, warts and molluscum, short stature, intellectual disability	Low CD4 T cells	Low	Low	nan	nan	[]	['hsa03030  DNA replication', 'hsa03410  Base excision repair', 'hsa03420  Nucleotide excision repair', 'hsa03430  Mismatch repair', 'hsa03440  Homologous recombination']	['HP:0004322', 'HP:0002715', 'HP:0010976', 'HP:0011947', 'HP:0032218', 'HP:0100658', 'HP:0000007', 'HP:0001249', 'HP:0200043', 'HP:0004313', 'HP:0005403']
Polymerase d 2 deficiency_POLD2_AR	Polymerase d 2 deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	600815	POLD2	POLD2	5425	Recurrent respiratory tract infections, skin infections, warts and molluscum, short stature, intellectual disability	Low CD4 T cells	Low	Low	nan	nan	[]	['hsa03030  DNA replication', 'hsa03410  Base excision repair', 'hsa03420  Nucleotide excision repair', 'hsa03430  Mismatch repair', 'hsa03440  Homologous recombination']	['HP:0004322', 'HP:0002715', 'HP:0010976', 'HP:0011947', 'HP:0032218', 'HP:0100658', 'HP:0000007', 'HP:0001249', 'HP:0200043', 'HP:0004313', 'HP:0005403']
c-Rel deficiency_REL_AR	c-Rel deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	164910	REL	REL	5966	Recurrent infections with bacteria, mycobacteria, salmonella and opportunistic infections	Normal	Low	Low	nan	nan	[]	['hsa04014  Ras signaling pathway', 'hsa05202  Transcriptional misregulation in cancer', 'hsa05203  Viral carcinogenesis']	['HP:0002715', 'HP:0010976', 'HP:0002719', 'HP:0000007', 'HP:0004313', 'HP:0005403', 'HP:0031690']
RelA haplosufficiency_RELA_AD	RelA haplosufficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AD	618287	RELA	RELA	5970	Mucosal ulceration, impaired NFkB activation	Normal	Normal	Normal	nan	nan	['Edasalonexent: D12181']	['hsa01523  Antifolate resistance', 'hsa04010  MAPK signaling pathway', 'hsa04014  Ras signaling pathway', 'hsa04024  cAMP signaling pathway', 'hsa04062  Chemokine signaling pathway', 'hsa04064  NF-kappa B signaling pathway', 'hsa04066  HIF-1 signaling pathway', 'hsa04071  Sphingolipid signaling pathway', 'hsa04137  Mitophagy - animal', 'hsa04151  PI3K-Akt signaling pathway', 'hsa04210  Apoptosis', 'hsa04211  Longevity regulating pathway', 'hsa04218  Cellular senescence', 'hsa04380  Osteoclast differentiation', 'hsa04613  Neutrophil extracellular trap formation', 'hsa04620  Toll-like receptor signaling pathway', 'hsa04621  NOD-like receptor signaling pathway', 'hsa04622  RIG-I-like receptor signaling pathway', 'hsa04623  Cytosolic DNA-sensing pathway', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa04657  IL-17 signaling pathway', 'hsa04658  Th1 and Th2 cell differentiation', 'hsa04659  Th17 cell differentiation', 'hsa04660  T cell receptor signaling pathway', 'hsa04662  B cell receptor signaling pathway', 'hsa04668  TNF signaling pathway', 'hsa04722  Neurotrophin signaling pathway', 'hsa04917  Prolactin signaling pathway', 'hsa04920  Adipocytokine signaling pathway', 'hsa04926  Relaxin signaling pathway', 'hsa04931  Insulin resistance', 'hsa04932  Non-alcoholic fatty liver disease', 'hsa04933  AGE-RAGE signaling pathway in diabetic complications', 'hsa04936  Alcoholic liver disease', 'hsa05010  Alzheimer disease', 'hsa05022  Pathways of neurodegeneration - multiple diseases', 'hsa05030  Cocaine addiction', 'hsa05120  Epithelial cell signaling in Helicobacter pylori infection', 'hsa05130  Pathogenic Escherichia coli infection', 'hsa05131  Shigellosis', 'hsa05132  Salmonella infection', 'hsa05133  Pertussis', 'hsa05134  Legionellosis', 'hsa05135  Yersinia infection', 'hsa05140  Leishmaniasis', 'hsa05142  Chagas disease', 'hsa05145  Toxoplasmosis', 'hsa05146  Amoebiasis', 'hsa05152  Tuberculosis', 'hsa05160  Hepatitis C', 'hsa05161  Hepatitis B', 'hsa05162  Measles', 'hsa05163  Human cytomegalovirus infection', 'hsa05164  Influenza A', 'hsa05165  Human papillomavirus infection', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05167  Kaposi sarcoma-associated herpesvirus infection', 'hsa05168  Herpes simplex virus 1 infection', 'hsa05169  Epstein-Barr virus infection', 'hsa05170  Human immunodeficiency virus 1 infection', 'hsa05171  Coronavirus disease - COVID-19', 'hsa05200  Pathways in cancer', 'hsa05202  Transcriptional misregulation in cancer', 'hsa05203  Viral carcinogenesis', 'hsa05207  Chemical carcinogenesis - receptor activation', 'hsa05208  Chemical carcinogenesis - reactive oxygen species', 'hsa05212  Pancreatic cancer', 'hsa05215  Prostate cancer', 'hsa05220  Chronic myeloid leukemia', 'hsa05221  Acute myeloid leukemia', 'hsa05222  Small cell lung cancer', 'hsa05235  PD-L1 expression and PD-1 checkpoint pathway in cancer', 'hsa05321  Inflammatory bowel disease', 'hsa05415  Diabetic cardiomyopathy', 'hsa05417  Lipid and atherosclerosis', 'hsa05418  Fluid shear stress and atherosclerosis']	['HP:0005403', 'HP:0000006', 'HP:0002715']
RelB deficiency_RELB_AR	RelB deficiency	Table 1 Immunodeficiencies affecting cellular and humoral immunity	Subtable 3 Combined Immunodeficiencies Generally Less Profound than Severe Combined Immunodeficiency	AR	604758	RELB	RELB	5971	Recurrent infections	Nl number, poor diversity, poor function	nan	nan	nan	nan	[]	['hsa04010  MAPK signaling pathway', 'hsa04064  NF-kappa B signaling pathway', 'hsa04380  Osteoclast differentiation', 'hsa04625  C-type lectin receptor signaling pathway', 'hsa05166  Human T-cell leukemia virus 1 infection', 'hsa05169  Epstein-Barr virus infection']	['HP:0005403', 'HP:0000007', 'HP:0002719', 'HP:0002715']
